B1,B2,B3,B4,B5,B6,B7,B8,B9,Flag
95,323,147,664,2787,3382,3413,1624,706,0
156,400,274,687,2541,3127,3381,1562,724,0
257,358,289,800,2501,3112,3434,1721,827,0
106,256,359,794,1791,2088,2163,1437,840,0
274,549,678,1291,2306,2690,2946,1888,1318,0
203,323,433,954,1461,1607,1705,1697,1253,0
2734,2875,3246,4678,5096,5022,4801,1198,1006,3
41,228,403,1114,1860,2135,2566,1773,1091,0
2580,2336,2969,5151,5378,5308,4804,975,855,1
21,132,277,985,1713,1821,1787,1710,1185,0
191,349,408,916,2004,2511,2762,1775,1047,0
128,331,207,915,2801,3283,3152,1605,819,0
235,372,275,719,2939,3865,3700,1446,660,0
6565,6211,6278,6383,6675,6538,6809,5815,4722,1
226,415,282,714,2564,3426,3569,1520,690,0
176,357,243,749,2579,3315,3283,1678,788,0
312,425,499,1165,2636,3195,2853,2338,1313,0
2612,2302,1840,2573,4094,4737,5018,3251,2470,1
513,680,739,1288,2777,3248,3396,2535,1447,0
413,507,508,1100,2507,3097,3312,2185,1213,0
499,695,751,1086,2378,2916,2762,2194,1288,0
338,518,429,993,2514,2998,2868,2040,1190,0
240,377,284,914,2609,3014,2940,1786,907,0
