B1,B2,B3,B4,B5,B6,B7,B8,B9,Flag
296,462,745,1149,1430,1542,1843,2281,1742,0
577,781,1100,1283,1495,1524,1793,2110,1543,0
496,748,1056,1298,1583,1694,1998,2302,1859,0
707,1054,1431,1648,1937,1943,2162,2382,2065,0
725,1195,1642,1823,1963,2027,2288,2563,2267,0
231,520,700,929,1316,1384,1580,1348,1000,0
5617,5369,5625,5672,5557,4929,5353,493,522,3
504,522,557,742,954,972,1109,560,370,0
8333,8231,9011,9728,9506,8778,9095,1017,1148,1
1414,1663,1938,2204,2662,2598,2896,1325,884,0
693,1095,1386,1788,2473,2583,2788,2694,2054,0
383,742,668,1367,2777,3032,3277,2387,1614,0
340,675,581,1031,3009,3614,3742,1891,1051,0
314,546,417,830,2403,3000,3327,1375,687,0
314,572,501,913,2046,2413,2764,1540,839,0
361,670,716,1133,2077,2355,2793,1915,1153,0
866,1247,1781,2052,2347,2426,2685,3275,2618,0
971,1454,2062,2289,2522,2664,3018,3474,2724,0
749,1135,1588,1820,2243,2413,2655,3062,2317,0
168,210,255,266,353,391,439,288,163,2
775,1071,1528,1763,2039,2181,2331,2944,2331,0
1031,1523,1993,2278,2661,2748,3081,3570,2844,0
581,949,1017,1651,2406,2528,2828,2630,1883,0
