B1,B2,B3,B4,B5,B6,B7,B8,B9,Flag
778,1179,1610,1616,1888,1951,2279,2282,1854,0
543,606,671,940,1532,1791,2051,1309,1261,0
332,489,657,996,1508,1775,1327,1523,1206,0
489,767,948,1150,1543,1713,1592,1694,1424,0
376,559,754,1098,1565,1792,1281,1654,1265,0
53,195,248,662,1441,1689,1265,1140,713,0
3997,3757,3666,4709,4817,4395,3942,403,481,3
1109,909,830,1391,2007,2090,1584,537,347,0
4199,4367,4531,5483,5667,5511,4420,598,710,3
6856,6564,6687,6119,6515,6271,6986,640,562,3
246,453,477,791,1783,1937,1790,1312,856,0
392,668,632,763,2460,3252,3556,1425,793,0
293,444,409,658,2198,2892,2940,1144,590,0
277,401,323,607,2073,2805,2955,1101,534,0
201,348,244,539,1958,2681,2950,1002,471,0
227,428,355,705,2032,2625,3078,1276,639,0
493,725,926,1082,1700,1933,2170,1919,1208,0
1634,1716,1717,2369,3202,3412,3515,2975,2026,1
704,1066,1486,1404,2028,2324,2611,2233,1622,0
735,1055,1363,1445,2045,2242,2440,2135,1650,0
679,958,1312,1296,1749,1953,1982,2122,1588,0
884,1289,1788,1688,2154,2307,2483,2549,2080,0
900,1318,1694,1621,2176,2394,2440,2579,2021,0
