B1,B2,B3,B4,B5,B6,B7,B8,B9,Flag
590,789,849,1324,2005,2156,2389,2155,1525,0
1568,1489,1436,1984,2447,2478,2911,2799,2040,1
488,713,846,1340,1868,1990,2284,2288,1731,0
520,753,900,1265,1862,1993,2209,2046,1587,0
645,934,1069,1440,2037,2189,2374,2373,1871,0
560,907,1033,1568,2267,2347,2618,2428,2077,0
0,292,623,1143,1788,1823,2161,1458,1095,0
159,440,531,1001,1560,1603,1998,1243,799,0
165,440,713,1202,1591,1680,1929,2086,1757,0
599,795,950,1311,1835,1898,2225,2178,1707,0
326,622,631,1308,2362,2574,3156,2309,1670,0
472,745,672,1065,2620,3055,3468,1880,1251,0
269,463,331,887,2658,3514,4250,1599,948,0
391,549,455,904,2299,3021,3700,1627,992,0
281,538,412,880,2142,2727,3254,1524,851,0
406,687,688,1125,2122,2500,3046,1840,1147,0
794,1065,1389,1752,2239,2438,2925,2882,2167,0
3195,3341,3464,3963,4770,5037,5141,4482,3617,1
915,1188,1448,1776,2475,2721,3091,2888,1999,0
2161,2373,2455,2670,2977,3148,3462,3873,2747,0
800,1027,1298,1578,1986,2176,2348,2732,1985,0
802,1045,1316,1596,1965,2107,2404,2796,2158,0
780,949,1206,1617,1974,2067,2222,2701,2102,0
