B1,B2,B3,B4,B5,B6,B7,B8,B9,Flag
230,464,328,780,2436,3094,3589,1632,823,0
348,564,484,936,2170,2573,2908,1804,1001,0
1001,1191,1234,1794,3048,3453,3823,2592,1780,0
429,777,1089,1288,1535,1689,1645,1839,1520,0
94,250,412,486,549,591,626,643,537,0
5672,5532,5948,6345,6327,6013,6502,5557,5439,1
6193,6120,6606,6962,7054,6424,6867,797,811,3
1672,2070,2628,3454,4019,4108,4544,4063,4562,0
7828,7686,8426,8564,8406,8035,8532,998,1067,1
401,705,798,1355,2341,2456,2822,2080,1479,0
286,531,422,1127,2626,2995,3368,1901,1168,0
144,331,200,831,2996,3901,4559,1565,831,0
202,298,211,614,2723,4120,4831,1408,683,0
317,402,264,677,2580,4050,4723,1387,633,0
170,339,211,672,2344,3393,3971,1302,619,0
7419,7210,7294,7583,7672,7386,7546,7295,6055,1
868,1284,1773,2257,3076,3359,4302,3628,2254,0
1332,1796,2489,2551,2987,3328,3640,3425,2369,0
792,1147,1588,1681,2178,2423,2794,2427,1699,0
758,1094,1525,1661,2011,2264,2340,2418,1802,0
772,1144,1573,1716,2166,2345,2557,2589,1979,0
776,1206,1491,1832,2520,2736,2926,2623,1907,0
440,867,638,1359,2945,3220,3602,1943,1077,0
