B1,B2,B3,B4,B5,B6,B7,B8,B9,Flag
424,694,1009,1201,1342,1389,1438,2047,1728,0
598,773,980,1315,1721,1853,1769,2167,1533,0
484,747,899,1270,1778,1878,1867,2099,1534,0
425,695,976,1163,1595,1687,1623,1837,1457,0
595,901,1168,1455,2007,2137,1939,2304,1781,0
369,663,733,1314,2252,2333,2386,2062,1670,0
7,316,630,1265,2005,2035,2012,1263,911,0
74,338,444,1002,1758,1862,1810,1204,731,0
6434,6254,7011,7527,7407,6999,7484,1013,998,1
226,478,494,1044,1917,1993,2206,1624,1022,0
323,618,596,1263,2517,2759,3052,2150,1381,0
159,406,270,885,2842,3424,3800,1641,864,0
221,425,306,868,2518,3200,3674,1586,906,0
355,544,442,969,2160,2666,3092,1766,1025,0
285,478,505,888,1692,2001,2239,1575,933,0
348,578,705,1086,1850,2114,2241,1873,1131,0
669,970,1394,1544,2110,2334,2225,2712,2080,0
2248,2664,2889,3490,4603,4956,5078,4378,3176,1
595,929,1255,1417,2010,2305,2330,2492,1808,0
1055,1386,1642,1882,2695,3059,3058,3060,2048,0
705,980,1328,1490,1969,2178,2188,2575,1859,0
764,1040,1428,1647,1954,2080,2197,2767,2139,0
723,1041,1459,1664,1879,1977,2136,2754,2189,0
