B1,B2,B3,B4,B5,B6,B7,B8,B9,Flag
259,556,786,1524,1999,2173,2730,1889,1123,0
1655,1587,1578,1940,2383,2496,2932,2796,1968,1
329,465,712,948,1177,1290,1660,1937,1423,0
426,579,764,948,1157,1205,1334,1740,1447,0
908,1164,1431,1772,2091,2235,2451,2816,2347,0
364,552,636,1039,1530,1566,1782,1882,1472,0
0,135,402,782,1105,1160,1296,1260,1001,0
115,226,372,675,906,942,1014,990,700,0
101,261,544,832,1113,1212,1313,1717,1487,0
690,764,922,1281,1708,1742,1881,2137,1656,0
409,665,718,1231,2151,2339,2515,2307,1709,0
250,460,411,779,2442,2997,3145,1661,959,0
229,393,259,711,2831,3866,4196,1540,785,0
280,447,303,682,2480,3508,3924,1261,600,0
212,456,299,730,2339,3130,3494,1157,512,0
309,604,565,1152,2308,2739,3239,1359,708,0
1196,1375,1836,2133,2309,2414,2861,3527,2769,0
4835,4785,4916,5511,5993,6133,6413,5866,4805,1
1825,2133,2433,2940,3727,4045,4418,3948,3296,0
182,283,413,493,606,733,874,798,522,2
869,1098,1515,1687,1942,2078,2441,3184,2364,0
866,1093,1496,1683,1788,1880,2200,3028,2440,0
914,1137,1576,1817,1923,2005,2272,3142,2543,0
