B1,B2,B3,B4,B5,B6,B7,B8,B9,Flag
364,702,663,1184,2299,2461,2649,1819,1151,0
10938,9695,8703,9250,8715,7902,7936,5797,4744,1
566,819,991,1505,1920,2058,2319,2207,1628,0
4916,4802,4734,5322,5741,5561,5821,4544,3789,1
4705,4250,3980,4312,4325,4138,4256,3547,2790,1
119,291,446,638,730,774,858,1385,1200,0
3638,3566,3768,4273,4267,3911,4000,600,584,3
92,152,313,505,627,650,773,1125,805,0
8488,8122,8997,10301,9829,9161,9070,982,1140,1
443,601,711,1292,1605,1544,1510,1124,832,0
2259,2215,2453,2962,3480,3525,3773,3956,3484,1
275,474,406,754,2083,2403,2558,1638,1041,0
216,388,254,683,2583,3343,3454,1482,812,0
313,478,380,740,1953,2520,2767,1389,771,0
284,448,479,789,1455,1740,1991,1412,869,0
405,600,861,1150,1465,1611,1918,1769,1169,0
661,869,1211,1375,1566,1660,1937,2514,2008,0
9559,8841,8753,9367,9110,8801,8780,7531,6383,1
650,874,1176,1321,1480,1617,1809,2613,2079,0
-999,-999,-999,-999,-999,-999,-999,-999,-999,1
721,927,1241,1413,1593,1731,1901,2620,1995,0
659,882,1150,1352,1629,1749,1974,2515,1941,0
664,840,1026,1272,1834,1905,2059,2341,1754,0
