B1,B2,B3,B4,B5,B6,B7,B8,B9,Flag
489,632,747,969,1647,1829,1979,2126,1702,0
2805,2589,2518,2891,3489,3584,3754,2876,2320,1
597,728,921,1002,1596,1788,1944,2040,1608,0
332,444,609,744,1198,1334,1426,1827,1579,0
2220,1771,1525,1713,1748,1740,1720,1633,1296,1
187,357,469,832,1504,1646,2119,1599,1054,0
2162,2130,2350,3024,3597,3438,3882,899,740,1
267,357,379,806,1484,1569,1907,1376,875,0
5646,5271,5699,6497,6294,5943,6091,4921,4866,1
163,434,352,979,1976,2158,2719,1454,917,0
278,449,317,817,2169,2711,2951,1648,991,0
173,318,166,603,2263,2948,4015,1244,661,0
207,398,195,717,3025,4097,4870,1481,677,0
287,475,310,652,2311,3272,3580,1244,565,0
3568,3376,3106,3429,4138,4315,4479,2244,1769,1
459,687,805,1150,2215,2706,3068,1645,888,0
638,842,1092,1121,1860,2149,2319,2381,1847,0
163,156,174,210,362,432,434,333,258,2
672,888,1156,1207,1848,2110,2405,2657,1966,0
-999,-999,-999,-999,-999,-999,-999,-999,-999,1
749,892,1141,1176,1718,2039,2300,2620,1914,0
703,914,1215,1215,1853,2116,2504,2512,1893,0
640,870,948,1196,2065,2312,2788,2266,1638,0
