B1,B2,B3,B4,B5,B6,B7,B8,B9,Flag
270,460,800,1085,1321,1449,1822,1961,1460,0
6218,5477,5086,5547,5443,5060,5019,4078,3280,1
559,723,1006,1178,1256,1319,1461,1871,1597,0
621,927,1271,1512,1734,1824,2040,2412,2041,0
684,955,1311,1518,1622,1677,1846,2328,2016,0
204,398,604,918,1144,1183,1273,1433,1100,0
0,66,466,759,1024,1070,1197,1130,874,0
203,339,544,836,1115,1130,1221,1195,818,0
6060,5908,6602,7614,7342,6971,6903,905,963,1
318,557,689,1104,1754,1796,1940,1874,1424,0
541,860,958,1494,2577,2813,2996,2458,1821,0
375,669,660,1061,2622,3047,3178,1872,1227,0
261,426,360,754,2339,2982,3152,1370,744,0
409,587,490,897,2316,2966,3265,1535,864,0
328,532,456,872,2025,2453,2722,1325,682,0
512,802,1090,1464,1953,2148,2470,1938,1237,0
1300,1351,1482,1736,2279,2498,2506,2391,1616,0
1067,1503,2040,2306,2606,2815,3093,3725,3005,0
822,1117,1547,1726,2069,2237,2421,2890,2319,0
211,239,244,272,359,392,408,288,193,0
911,1232,1663,1862,2173,2339,2588,3099,2458,0
756,996,1367,1560,1756,1854,2006,2561,2137,0
758,1046,1379,1623,1841,1902,2088,2535,2105,0
