B1,B2,B3,B4,B5,B6,B7,B8,B9,Flag
186,484,488,1014,1727,1938,2281,1679,1097,0
89,131,276,444,646,740,795,818,535,2
179,197,253,322,427,513,548,359,193,2
471,755,1043,1318,1547,1657,1695,2185,1769,0
1220,1499,1786,2130,2509,2641,2748,3109,2487,0
166,338,470,815,1046,1089,1142,1186,821,0
6477,6145,6377,7153,7001,6222,6258,436,517,3
242,379,573,908,1173,1215,1340,866,571,0
5078,5203,5806,6887,6818,6487,6517,1006,1102,1
269,462,616,1046,1420,1479,1635,1275,858,0
464,763,843,1437,2279,2457,2743,2421,1817,0
169,356,290,919,2541,3245,3639,1814,1215,0
251,393,276,790,2815,3959,4470,1644,901,0
359,443,357,786,2522,3823,4296,1445,733,0
252,406,299,798,2529,3772,4264,1478,733,0
236,435,336,987,2680,3740,4298,1916,1152,0
631,900,1285,1542,2125,2393,2672,2604,1629,0
701,1054,1552,1795,2270,2578,3060,3220,2085,0
683,1032,1463,1593,2224,2494,2734,2693,1905,0
806,1202,1774,1983,2424,2683,2932,3302,2385,0
698,1022,1436,1568,2145,2439,2650,2785,2000,0
649,983,1386,1555,1980,2166,2327,2620,2061,0
804,1211,1596,1785,2409,2578,2847,2866,2244,0
