B1,B2,B3,B4,B5,B6,B7,B8,B9,Flag
716,1048,1481,1751,1862,1903,2035,2827,2657,0
9554,8788,8394,8824,8595,7945,7809,6459,5242,1
1166,1622,2162,2522,2678,2724,2922,3602,3260,0
1097,1528,1968,2268,2392,2411,2595,3180,2851,0
850,1223,1691,2031,2184,2271,2503,2943,2695,0
301,454,631,1015,1399,1432,1477,1570,1215,0
7153,6818,7111,8051,7922,7133,7019,471,513,3
1228,1323,1610,2173,2546,2521,2638,2835,3171,0
8229,7949,8641,9922,9482,8894,8644,1275,1383,1
313,600,772,1258,2070,2136,2250,1827,1215,0
697,1032,1134,1731,3329,3732,3898,2761,1939,0
215,428,302,777,3213,4169,4494,1547,780,0
189,347,229,630,2904,4273,4422,1397,664,0
313,448,303,649,2653,3911,4251,1329,581,0
252,401,312,659,2255,3165,3586,1218,556,0
272,470,443,827,2042,2624,3014,1331,740,0
999,1398,2004,2264,2429,2481,2722,3378,2803,0
783,1224,1818,2051,2269,2457,2845,3078,2504,0
1023,1453,2029,2283,2589,2736,3031,3663,2898,0
1041,1468,2018,2315,2562,2701,2962,3636,2906,0
1009,1369,1857,2120,2493,2636,2892,3548,2804,0
996,1394,1924,2172,2386,2481,2713,3479,2842,0
1041,1424,1868,2304,2718,2823,3086,3678,2931,0
