B1,B2,B3,B4,B5,B6,B7,B8,B9,Flag
1132,1669,2220,2696,2967,2967,3191,3985,3325,0
1400,1878,2488,3062,3363,3392,3631,4319,3498,0
1284,1808,2206,2781,3187,3250,3371,4006,3250,0
1243,1847,2133,2737,3311,3404,3599,4021,3280,0
1088,1461,2019,2390,2577,2629,2780,3409,2926,0
481,806,973,1655,1987,2002,2200,2192,1561,0
7335,7142,7469,8342,8176,7371,7397,520,624,3
597,998,1378,2176,2650,2697,2991,2352,1537,0
8481,8187,8911,10009,9628,9009,8845,1409,1515,1
491,876,1067,1865,2451,2538,2716,2321,1592,0
748,1117,1175,2099,3090,3232,3355,3015,2302,0
342,648,498,1485,3674,4284,4647,2607,1584,0
270,521,394,1147,3251,4150,4500,2103,1238,0
291,504,321,823,2726,3727,4208,1503,728,0
253,477,324,827,2391,3073,3543,1347,651,0
312,532,509,1086,2394,2842,3259,1676,928,0
716,1123,1696,2107,2712,2928,3424,4107,2700,0
564,835,1136,1551,2078,2295,2489,3073,2092,0
751,1086,1474,1821,2420,2667,3118,3644,2378,0
748,1064,1417,1875,2489,2755,3176,3970,2614,0
985,1351,1835,2108,2391,2528,2823,3583,2793,0
1044,1435,1909,2232,2515,2623,2934,3738,2948,0
967,1361,1769,2173,2592,2657,2960,3771,3003,0
