B1,B2,B3,B4,B5,B6,B7,B8,B9,Flag
213,499,346,814,2405,2893,3224,1620,801,0
269,482,421,860,2004,2340,2621,1626,862,0
513,704,860,1385,2240,2492,2812,2431,1442,0
739,1034,1365,1700,2004,2070,2235,2378,1866,0
2548,2446,2415,2805,3019,2946,3100,2411,2032,1
155,418,501,850,1123,1116,1164,1040,757,0
5363,5210,5691,6185,6137,5610,5823,909,966,1
189,404,548,834,1085,1108,1144,893,656,0
8644,8369,9007,10179,9762,9072,8791,831,1025,1
391,622,747,1136,1548,1540,1748,1598,1156,0
341,661,582,1128,2143,2283,2611,1641,1046,0
495,861,841,1452,2506,2826,3032,2258,1797,0
238,337,299,678,2071,2919,3406,1258,736,0
1892,2188,2152,2390,3604,4091,4372,2927,1868,1
257,476,313,762,2441,3248,3828,1460,701,0
254,484,452,914,2358,3022,3252,1675,888,0
895,1313,1855,2031,3110,3693,4176,3051,1808,0
796,1132,1539,1638,2352,2807,2927,2634,1769,0
949,1324,1638,1723,2668,3232,3254,2785,1778,0
3450,3385,3021,2895,3504,3733,3822,2740,1887,1
606,948,868,1311,2639,3106,3154,2084,1121,0
442,942,514,1295,3494,4039,4257,1879,834,0
392,848,446,1210,3441,3976,4301,1794,814,0
