B1,B2,B3,B4,B5,B6,B7,B8,B9,Flag
654,922,911,1175,2263,2553,2865,1993,1379,0
335,549,411,856,2084,2360,2427,1435,675,0
368,681,576,1221,2540,2936,3313,2031,1307,0
757,1084,1314,1755,2534,2743,3222,2913,2044,0
9721,9030,8794,9040,8581,8195,8118,6904,6124,1
755,986,1086,1604,2143,2209,2401,2292,1872,0
634,867,1129,1618,2031,1997,2024,1622,1265,0
391,617,782,1269,1706,1825,1997,1775,1316,0
7556,7300,7903,8222,8018,7477,7827,1022,1116,1
569,826,889,1557,2244,2263,2449,1747,1361,0
402,709,608,1384,2990,3270,3582,2304,1605,0
710,937,1004,1255,2455,2808,3114,2026,1447,0
228,407,432,944,2450,3026,3533,1737,1179,0
364,492,443,863,2177,2843,3201,1587,970,0
1481,1458,1292,1837,3197,3700,4005,2146,1486,1
467,712,727,1181,2348,2798,3242,1878,1207,0
911,1245,1659,1820,2465,2605,3038,3017,2191,0
1081,1493,2114,2175,2790,3064,3483,3625,2639,0
910,1189,1548,1695,2370,2619,2920,2915,2023,0
5169,4781,4605,4931,5078,4963,5043,2722,1652,1
890,1172,1491,1591,2244,2479,2653,2942,2127,0
831,1163,1422,1547,2448,2604,2781,2759,1971,0
843,1158,1427,1579,2038,2097,2297,2534,2069,0
