B1,B2,B3,B4,B5,B6,B7,B8,B9,Flag
3336,3114,2588,3012,3922,3928,4145,3503,2535,1
451,725,556,1317,3056,3312,3603,2983,1770,0
426,526,672,919,1384,1589,1475,2050,1629,0
439,562,846,1025,1401,1525,1383,2361,1946,0
8478,8104,7760,8287,8108,7750,7637,6997,6378,1
353,502,655,978,1291,1334,1577,1944,1574,0
2588,2551,2793,3206,3479,3262,3392,1044,845,1
756,968,1221,1692,2149,2184,2443,2580,2019,0
4892,4467,4662,5386,5176,4929,4884,1436,1346,1
278,508,708,1191,1841,1907,2105,1806,1278,0
410,651,625,1160,2127,2339,2769,2373,1826,0
282,529,464,900,2386,2752,3009,1981,1251,0
224,443,335,835,2707,3333,3616,1823,1060,0
338,545,425,869,2128,2575,2886,1755,954,0
343,414,369,641,1227,1445,1559,804,478,0
432,628,813,1180,1841,2022,2364,2111,1323,0
647,903,1223,1491,1993,2099,2269,2926,2175,0
808,1084,1499,1786,2092,2248,2475,3325,2588,0
1625,1634,1566,1866,2661,2894,3139,2787,1980,1
-999,-999,-999,-999,-999,-999,-999,-999,-999,1
742,988,1297,1502,1842,1972,2208,3130,2378,0
598,781,1085,1323,1714,1766,1989,2880,2239,0
673,887,1187,1413,1830,1995,2115,2892,2254,0
