B1,B2,B3,B4,B5,B6,B7,B8,B9,Flag
350,624,571,1121,2182,2336,2651,2198,1295,0
4976,4457,4246,4586,5121,4941,5059,3591,3063,1
590,865,1052,1442,2044,2247,2549,2509,1780,0
560,797,1085,1277,1825,1944,2112,2428,1956,0
9163,8456,8208,8734,8442,8054,7995,6586,5537,1
216,437,422,999,1761,1855,2002,1669,1159,0
5770,5567,5873,6928,6991,6449,6362,642,710,3
630,836,973,1646,2347,2452,2736,2520,1987,0
6065,5520,5674,6548,6314,5881,5905,1713,1647,1
3430,3650,3865,5392,6032,5737,5477,789,634,3
478,725,621,1361,2998,3352,3626,2517,1549,0
283,491,405,884,2439,2880,3223,1976,1078,0
229,389,244,775,2834,3712,4191,1693,841,0
304,491,383,860,2392,3016,3453,1843,971,0
335,538,513,921,1996,2378,2783,1908,1108,0
418,629,791,1128,1832,2078,2428,2107,1279,0
393,682,619,1127,2353,2548,2922,2451,1440,0
689,1025,1144,1633,2723,2953,3404,3155,1936,0
586,771,1054,1158,1640,1823,2062,2515,1805,0
-999,-999,-999,-999,-999,-999,-999,-999,-999,1
698,919,1158,1388,1975,2218,2581,2943,2040,0
794,1065,1405,1576,1971,2140,2449,3231,2386,0
771,1085,1382,1656,2038,2188,2453,3246,2488,0
