B1,B2,B3,B4,B5,B6,B7,B8,B9,Flag
232,415,661,1140,1555,1667,1981,1957,1425,0
861,1074,1433,1741,2072,2144,2472,2801,2124,0
893,1095,1353,1697,2082,2132,2454,2887,2189,0
347,427,595,751,861,902,968,971,783,0
4256,4073,3981,4486,4557,4425,4451,3041,2924,1
391,658,771,1336,1785,1908,1922,1778,1348,0
0,327,505,907,1270,1302,1407,827,694,0
118,332,336,840,1307,1291,1166,967,679,0
6271,6043,6474,7276,6748,6369,6216,1038,1110,1
425,678,674,1306,2147,2268,2351,1742,1247,0
881,1054,1123,1510,2651,2951,3079,2140,1378,0
305,447,314,927,2626,3497,3834,1509,971,0
545,705,678,1058,2413,3295,3537,1677,1080,0
688,899,802,1145,2571,3561,4129,1838,1142,0
515,708,610,1037,2231,2805,3192,1632,965,0
430,618,638,1138,2148,2537,2968,1723,1066,0
775,1073,1343,1605,1995,2193,2302,2470,1911,0
3400,2736,2222,2627,3447,3859,4046,2346,1492,1
933,1321,1642,1847,2294,2526,2638,2858,2219,0
766,1053,1097,1425,1988,2205,2393,2133,1418,0
708,975,973,1463,2271,2500,2677,2239,1497,0
600,1055,739,1608,3117,3324,3721,2293,1429,0
550,965,648,1565,3284,3535,3944,1953,1127,0
