B1,B2,B3,B4,B5,B6,B7,B8,B9,Flag
246,489,357,746,2367,2969,3307,1520,741,0
330,560,593,1093,1920,2176,2568,1763,1146,0
4275,3501,3375,3983,4397,4444,4661,3816,3735,1
589,770,1041,1232,1359,1384,1487,1171,991,0
636,952,1341,1526,1538,1569,1602,1938,1688,0
166,356,497,766,995,1036,1049,840,630,0
6139,6103,6700,7735,7783,7166,7241,2048,1940,1
207,368,586,888,1166,1220,1301,751,548,0
9930,9388,9877,11110,10431,9645,9396,1532,1786,1
336,587,759,1133,1548,1569,1675,1409,1026,0
360,682,648,1355,2563,2783,2866,2016,1464,0
247,466,435,1007,2583,3285,3604,1684,1139,0
338,487,371,878,3003,4312,5029,1640,851,0
349,462,371,730,2335,3419,4018,1311,644,0
269,434,449,912,2475,3234,3753,1466,783,0
234,402,423,853,2043,2537,2822,1553,842,0
583,738,1051,1185,2079,2376,2216,2222,1307,0
9995,9349,8927,9372,9170,8911,8990,7145,5778,1
886,1114,1463,1452,2179,2538,2561,1902,1174,0
850,1288,1731,1942,2753,3065,3043,2840,1965,0
702,1093,1304,1640,2805,3137,3153,2589,1634,0
506,929,707,1488,3433,3783,3973,2379,1259,0
442,860,511,1393,3739,4109,4557,1993,945,0
