B1,B2,B3,B4,B5,B6,B7,B8,B9,Flag
137,365,287,681,2140,2512,2751,1391,697,0
259,482,443,972,2455,2848,2939,1747,945,0
358,527,611,1046,2177,2523,2575,1992,1159,0
262,477,579,743,1025,1028,1072,872,713,0
617,1078,1376,1685,2324,2441,2366,2172,1720,0
232,555,675,1258,2053,2107,1945,1621,1025,0
4622,4857,5273,5948,6203,5757,5987,981,951,3
214,615,742,1424,2268,2294,2183,1553,965,0
6200,5555,5637,6275,5914,5405,5042,491,514,3
351,712,784,1370,2396,2470,2593,2012,1304,0
384,708,660,1377,2638,2845,3004,2044,1253,0
175,416,304,823,2764,3517,3683,1529,876,0
244,407,264,777,2863,4044,4442,1494,767,0
1242,1325,1226,1535,2826,3333,3564,2149,1249,1
287,485,429,797,2105,2678,2869,1415,706,0
338,594,694,1045,1942,2374,2573,1695,973,0
740,988,1380,1477,2034,2353,2586,2847,1804,0
985,1353,1959,2057,2691,3161,3530,3743,2400,0
1035,1512,2075,2208,2867,3276,3683,3792,2594,0
1115,1615,2184,2296,3012,3467,3824,3731,2492,0
729,1120,1449,1546,2102,2419,2434,2326,1624,0
859,1366,1687,1934,2524,2778,2874,2885,2227,0
660,1056,1132,1643,2436,2614,2687,2442,1721,0
