B1,B2,B3,B4,B5,B6,B7,B8,B9,Flag
302,603,579,1079,2262,2566,3030,1875,1059,0
957,854,700,980,1239,1325,1450,1122,788,0
418,649,802,1186,1667,1855,2215,2173,1431,0
628,970,1403,1633,1768,1849,2093,2694,2206,0
10009,9507,9362,9819,9291,8933,8817,7200,6307,1
430,717,985,1387,1654,1681,1861,2397,2033,0
7555,7455,8022,9044,8922,8061,8146,559,642,3
1431,1267,1307,1695,1918,1895,1971,2439,1723,0
9295,8984,9834,11084,10637,9948,9902,1445,1539,1
3157,3057,3373,3994,4424,4237,4127,903,658,3
621,925,1049,1559,2842,3095,3278,2726,1963,0
307,598,461,1117,2840,3360,3634,1896,1159,0
237,387,318,735,2736,3722,4122,1531,798,0
311,459,349,725,2421,3337,3692,1408,695,0
673,738,662,1137,2614,3231,3629,1531,877,0
443,750,716,1395,2511,2920,3404,1824,1037,0
856,1217,1827,2068,2251,2359,2666,3456,2756,0
1182,1686,2288,2552,2715,2896,3152,4115,3244,0
685,973,1304,1386,1490,1564,1730,2049,1551,0
-999,-999,-999,-999,-999,-999,-999,-999,-999,1
780,1104,1488,1629,1824,1953,2174,2931,2414,0
899,1282,1780,1890,2018,2099,2307,2990,2498,0
846,1200,1644,1808,1970,2013,2256,2856,2498,0
