B1,B2,B3,B4,B5,B6,B7,B8,B9,Flag
232,511,374,871,2495,2908,3059,1698,839,0
294,542,528,1005,2017,2251,2435,1817,1040,0
911,1302,1675,2218,2949,3173,3583,3238,2195,0
3421,3313,3169,3628,4112,4013,4103,2620,2167,1
1873,2184,2254,2693,3274,3320,3206,2630,2151,1
194,489,625,1087,1714,1747,1434,1338,887,0
7385,7411,8046,8972,8999,8180,8241,1162,1177,1
193,512,738,1150,1657,1661,1504,1182,789,0
9462,9204,9980,11200,10535,9886,9661,955,1119,1
336,697,845,1353,1922,1968,2041,1882,1268,0
336,679,684,1213,2272,2436,2495,1766,1095,0
278,557,500,1108,2931,3431,3682,1895,1158,0
238,386,245,665,2844,4235,4678,1343,617,0
349,583,370,901,3195,4614,5192,1672,809,0
368,588,461,1126,3140,4136,4793,1788,871,0
272,480,502,1120,2780,3495,3953,1660,805,0
665,993,1422,1614,2155,2472,2803,2583,1541,0
868,1251,1861,2223,2731,3060,3420,3651,2269,0
916,1305,1938,2103,2663,3042,3399,3801,2282,0
828,1123,1601,1889,2431,2723,3008,3385,2082,0
865,1217,1713,1883,2508,2840,3091,3602,2169,0
644,987,1366,1524,1948,2173,2255,2621,1902,0
708,1096,1440,1631,2152,2302,2341,2669,1973,0
