B1,B2,B3,B4,B5,B6,B7,B8,B9,Flag
227,455,541,969,1942,2221,2560,1780,1052,0
1348,1528,1478,2048,3234,3461,3831,2908,2407,0
402,563,614,871,1674,1865,2231,1647,989,0
631,788,1029,1181,1666,1710,1891,1640,1191,0
2005,2139,2295,2738,3244,3365,3709,2813,2217,1
223,338,485,651,990,965,1289,1131,767,0
2259,2341,2560,2564,2756,2590,3038,600,586,3
131,220,400,559,853,889,1067,782,518,0
3987,3680,3947,4035,3842,3800,4524,960,913,3
341,570,712,1022,1350,1368,1851,1509,1105,0
486,718,816,976,1555,1688,2054,1691,1155,0
346,754,543,1082,2809,3197,3588,1796,999,0
326,543,373,872,2975,3726,3920,1765,893,0
343,523,397,822,2752,3696,4280,1577,751,0
356,602,444,811,2353,3008,3257,1514,725,0
369,634,588,941,2423,2909,3373,1690,882,0
511,906,1051,1401,2556,3014,3526,2697,1678,0
561,803,844,1248,2672,3113,3655,2519,1448,0
708,1062,1291,1493,2591,3021,3533,2827,1774,0
543,856,986,1274,2474,2960,3350,2569,1473,0
708,1049,1330,1280,2143,2438,2658,2279,1527,0
879,1086,1032,1312,2420,2754,3092,2298,1475,0
399,687,642,1096,2135,2378,2888,1947,1199,0
