B1,B2,B3,B4,B5,B6,B7,B8,B9,Flag
225,399,585,951,1413,1517,1954,1982,1369,0
140,231,348,530,853,976,977,894,600,2
3500,3167,3006,3833,4332,4269,4182,3184,2643,1
546,817,1107,1308,1709,1705,1963,2127,1741,0
8939,8599,8574,8935,8769,8400,8403,7257,6562,1
272,393,591,881,1152,1259,1327,1492,1090,0
0,178,440,767,1158,1154,1361,958,744,0
174,309,482,821,1130,1221,1521,1143,719,0
4379,4348,4938,5723,5662,5330,5489,1060,1079,1
335,530,651,1009,1400,1476,1662,1672,1242,0
494,775,875,1359,2063,2257,2471,2274,1669,0
243,507,350,896,2752,3315,3613,1670,968,0
204,332,222,602,2680,3830,4157,1295,598,0
248,479,430,837,2662,3875,4292,1505,689,0
229,400,257,661,2591,3730,4076,1306,575,0
235,444,304,727,2533,3560,3900,1281,589,0
530,696,975,1187,1567,1766,1952,2151,1448,0
786,1143,1701,1937,2242,2477,2887,3495,2431,0
761,1084,1568,1822,2272,2510,2877,3494,2486,0
6696,6046,5645,6256,6272,6181,6174,5151,4277,1
754,1024,1369,1510,1848,1934,2202,2625,2036,0
2602,2868,2725,2856,3566,3662,3955,3485,2395,1
753,1029,1375,1630,1883,1930,2111,2643,2225,0
