B1,B2,B3,B4,B5,B6,B7,B8,B9,Flag
937,1163,1244,1618,2373,2574,2727,2453,2094,0
855,1186,1586,1675,2008,2141,2326,3014,2379,0
684,956,1228,1448,1728,1819,1806,2435,1962,0
588,865,1202,1423,1660,1747,1974,2743,2310,0
7165,6516,6105,6635,6489,6192,6194,5295,4643,1
529,699,822,1210,1661,1686,1788,1996,1473,0
3274,3105,3296,3831,4200,3927,4050,983,761,3
134,92,135,258,321,307,315,295,190,2
7922,7534,8042,9074,8617,8021,7951,1067,1183,1
244,510,572,1095,2076,2196,2391,2091,1391,0
329,631,539,1225,2661,2919,3257,2407,1617,0
178,335,236,714,2851,3720,3985,1622,838,0
135,281,170,554,2705,3909,4257,1405,685,0
304,430,322,727,2432,3336,3638,1463,681,0
431,588,604,904,2032,2574,2881,1102,619,0
396,585,731,1097,1978,2323,2690,1914,1129,0
767,1127,1716,2063,2436,2609,2953,3887,2729,0
914,1204,1667,1904,2356,2568,2805,3214,2411,0
903,1219,1547,1683,2235,2415,2846,3024,2227,0
-999,-999,-999,-999,-999,-999,-999,-999,-999,1
778,1073,1461,1569,1945,2137,2378,3073,2342,0
776,1110,1460,1663,2150,2268,2585,3143,2428,0
704,1034,1248,1594,2310,2464,2794,2989,2264,0
