B1,B2,B3,B4,B5,B6,B7,B8,B9,Flag
792,1116,1491,1860,2188,2202,2448,2815,2228,0
616,721,772,1072,1487,1647,1667,1243,952,0
942,1369,1536,2128,2877,2942,3150,3164,2392,0
7469,7442,7546,8303,8943,8728,9071,8213,8097,1
589,993,745,1671,4230,4543,4686,2276,1280,0
288,696,345,1675,5429,5744,5994,1849,868,0
8120,8071,8538,9628,9820,8948,8777,723,832,3
442,730,519,2094,5539,5763,5982,1704,784,0
9516,9242,10214,11653,11286,10511,10469,1399,1599,1
5558,5567,5853,7311,8295,7833,7616,679,581,3
493,760,674,1496,3823,4198,4419,2000,1137,0
314,625,374,1058,4221,4995,5365,1577,767,0
266,611,323,1140,4402,5219,5383,1206,548,0
455,814,485,1344,3402,3841,4125,1147,556,0
446,868,574,1527,2894,3190,3565,1281,667,0
548,835,1060,1621,2163,2359,2873,2045,1231,0
967,1262,1698,2020,2317,2367,2588,3155,2646,0
1144,1607,2011,2431,2934,3129,3364,3748,3001,0
1470,1744,1707,2262,3513,3768,4065,3070,2131,1
599,1140,884,1891,3659,3925,4188,2638,1549,0
607,1116,695,1712,3731,3970,4232,2225,1157,0
856,1172,1547,1838,2134,2218,2427,3144,2717,0
952,1282,1716,2080,2478,2537,2761,3531,3017,0
