B1,B2,B3,B4,B5,B6,B7,B8,B9,Flag
514,1028,1215,1736,2491,2553,2843,2781,1977,0
362,599,536,1022,2239,2413,2573,1253,640,0
465,832,626,1451,3565,3858,4118,2081,1082,0
261,496,327,891,3171,3604,3949,1327,702,0
267,465,251,918,3669,4335,4604,1292,603,0
183,456,295,1412,5577,6165,6539,1782,832,0
0,186,206,1056,3713,3888,4259,1148,673,0
183,403,339,1396,4481,4891,5051,1093,486,0
1104,1253,1466,2811,4785,4804,5247,1500,994,0
164,273,306,668,1225,1228,1261,477,280,0
381,646,583,1371,3655,4150,4422,1967,1142,0
279,510,355,966,3787,4682,4991,1774,1002,0
307,661,457,1105,3930,4910,5159,1464,748,0
365,696,420,1078,3255,3908,4164,1230,660,0
394,852,459,1338,3136,3574,3973,1191,525,0
502,929,1032,1727,2465,2738,3241,1904,1049,0
710,1198,1336,2005,3222,3441,3647,3268,2128,0
469,994,658,1752,3805,4113,4709,2646,1468,0
454,840,508,1347,3798,4292,4752,2273,1098,0
831,1246,1570,1995,2592,2853,3057,3238,2360,0
717,1077,1454,1749,2363,2594,2774,3309,2352,0
802,1217,1742,1998,2378,2540,2703,3742,2876,0
734,1190,1707,1933,2246,2372,2501,3494,2795,0
