B1,B2,B3,B4,B5,B6,B7,B8,B9,Flag
662,1004,1408,1674,1956,2037,2279,3082,2253,0
296,402,483,628,824,892,1005,939,607,0
729,1175,1312,1907,2658,2846,3128,3484,2539,0
447,842,733,1351,3254,3561,3890,2345,1537,0
482,881,663,1498,4236,4716,5047,2494,1428,0
261,631,429,1217,4390,4788,4678,1557,690,0
52,486,557,1476,4438,4667,4901,1439,791,0
334,593,487,1629,4908,5229,5492,1413,659,0
5779,5642,6323,7498,7872,7502,7534,1177,1140,1
188,369,485,995,1947,2024,2058,1071,573,0
418,734,665,1364,3537,3951,4386,2119,1218,0
317,577,425,944,4011,4997,5194,1786,848,0
388,896,697,1266,3985,4900,5247,1548,731,0
387,726,400,1083,3266,3874,4198,1228,555,0
394,772,514,1232,2616,2996,3369,1356,671,0
291,487,639,987,1470,1716,2134,1338,761,0
471,787,636,1426,3390,3682,4003,2528,1423,0
295,630,361,1139,3085,3415,3737,1804,938,0
415,722,475,1173,3543,4128,4565,2164,1091,0
732,1093,683,1627,4344,5041,5870,3017,1517,0
569,838,611,1313,3532,4081,4638,2505,1275,0
12000,12000,12000,12000,12000,11933,12000,6452,5141,1
721,1027,1431,1725,2130,2290,2514,3657,3039,0
