B1,B2,B3,B4,B5,B6,B7,B8,B9,Flag
672,1066,1362,1782,2084,2116,2249,2705,2225,0
761,1140,1304,1792,2409,2448,2633,2450,1719,0
706,1136,1158,1824,2826,2995,3135,2737,1947,0
450,855,627,1305,3691,3978,4097,1794,998,0
495,951,587,1496,5094,5521,5734,2082,999,0
364,815,393,1473,5423,5855,6161,1718,783,0
6257,6057,6304,7080,7333,6640,6617,637,666,3
583,960,611,1943,5705,5980,6176,1462,663,0
8984,8851,9689,11016,10584,9957,9921,1176,1376,1
1445,1672,1753,2856,4321,4256,4394,1233,711,1
580,898,872,1572,3761,4037,4209,2131,1273,0
267,569,314,947,4017,4844,5164,1420,662,0
262,569,316,914,3826,4603,4824,1240,545,0
388,734,380,1087,3216,3748,4102,1026,480,0
330,736,424,1207,2646,2944,3409,1177,594,0
459,801,956,1562,2168,2381,2870,1884,1101,0
914,1362,1607,2140,2722,2828,3073,3299,2620,0
758,1310,1278,2018,3120,3309,3465,3049,2106,0
884,1295,1764,2000,2436,2610,2868,3231,2572,0
1361,1932,2542,2859,3098,3298,3499,4327,3566,0
1182,1703,2280,2526,2825,2962,3139,4090,3480,0
1238,1795,2276,2676,3158,3273,3536,4073,3419,0
1010,1465,1958,2239,2481,2551,2779,3567,3108,0
