B1,B2,B3,B4,B5,B6,B7,B8,B9,Flag
856,1323,1769,2144,2394,2420,2636,3112,2459,0
1055,1450,1785,2262,2790,2889,3166,2828,1767,0
1037,1522,1840,2395,2943,3050,3281,3342,2571,0
992,1539,1761,2366,3584,3705,3898,3499,2651,0
853,1427,1499,2251,3545,3702,3987,3166,2320,0
474,860,809,1794,4019,4116,4128,2062,1209,0
8079,7774,8391,9266,9566,8620,8781,679,739,3
4,54,97,302,671,687,619,191,119,0
9316,9112,9895,11254,10823,10039,10022,1359,1586,1
311,599,784,1495,2688,2775,2887,1756,1105,0
649,988,1039,1815,3825,4097,4338,2561,1746,0
419,749,596,1164,3742,4304,4385,1744,988,0
318,620,413,1031,3828,4574,4753,1375,684,0
395,648,388,948,2525,2881,3179,809,383,0
423,755,545,1269,2638,2983,3423,1294,679,0
487,813,926,1534,2312,2551,3102,1966,1148,0
822,1173,1585,1940,2262,2335,2573,3211,2564,0
846,1256,1600,2009,2489,2638,2927,3294,2509,0
781,1206,1419,1849,2669,2855,3097,3160,2264,0
791,1113,1507,1764,1936,2082,2252,3038,2444,0
884,1251,1716,1995,2231,2378,2594,3471,2861,0
1009,1454,1955,2235,2486,2617,2823,3767,3152,0
1119,1598,2127,2495,2850,2902,3143,4117,3525,0
