B1,B2,B3,B4,B5,B6,B7,B8,B9,Flag
800,1157,1502,1826,2041,2098,2254,2472,2031,0
618,816,964,1212,1640,1757,1925,1522,1010,0
599,919,909,1447,2265,2417,2597,1942,1259,0
389,726,449,1272,3695,4015,4461,1857,984,0
354,617,383,1142,3695,4091,4332,1544,758,0
216,483,275,1229,4953,5482,5698,1571,675,0
0,243,278,1157,4305,4504,4865,1370,743,0
241,469,335,1347,4321,4734,4827,1150,505,0
8239,8066,8804,9949,9582,8868,8709,1013,1150,1
376,606,658,1462,3103,3202,3536,1544,848,0
410,679,530,1285,3535,3960,4288,1694,908,0
347,679,460,1149,3898,4675,5084,1587,791,0
387,637,398,1087,3749,4551,4909,1298,625,0
447,793,441,1228,3349,3853,4256,1142,503,0
425,836,622,1385,2513,2749,3150,1368,662,0
472,763,1134,1432,1969,2133,2617,2419,1485,0
694,1009,1104,1647,2749,2933,3247,2972,1970,0
586,927,903,1547,2922,3235,3492,2749,1634,0
700,949,1164,1622,2428,2615,2954,3263,2197,0
1017,1388,1788,1996,2302,2454,2756,3045,2347,0
1176,1542,1913,2111,2476,2580,2865,3200,2536,0
1068,1412,1769,2022,2481,2600,2871,3040,2432,0
1107,1438,1765,2100,2623,2658,2879,3019,2460,0
