B1,B2,B3,B4,B5,B6,B7,B8,B9,Flag
486,820,929,1386,2084,2146,2294,2131,1537,0
619,1063,621,1706,4433,4698,4960,2337,1128,0
464,846,514,1381,4003,4327,4481,1956,954,0
328,597,387,1005,3577,4155,4543,1632,839,0
385,639,353,1144,4848,5731,6084,1810,816,0
524,859,725,1671,4370,4757,5155,2522,1804,0
350,762,749,1780,4407,4621,5019,1408,861,0
250,620,360,1560,4874,5294,5842,1249,589,0
3422,3537,3715,4836,6121,6017,6177,1140,850,3
428,786,831,1592,2974,3134,3891,1923,1142,0
363,637,527,1247,3715,4221,4586,1797,935,0
332,643,495,1160,3408,4089,4742,1949,1184,0
369,713,461,1181,3765,4643,4942,1422,813,0
508,870,477,1283,3190,3681,4089,1369,730,0
422,756,841,1342,1874,2103,2453,1857,1105,0
616,918,1401,1607,2109,2316,2683,2674,1645,0
606,1011,837,1543,3749,4250,4572,2830,1567,0
615,1007,668,1505,4213,4848,5126,2690,1319,0
505,843,625,1181,3411,4083,4440,2304,1141,0
830,1201,1208,1816,3229,3708,3799,2705,1735,0
739,1007,1127,1598,2706,3111,3574,2909,1714,0
676,963,1284,1504,1938,2080,2168,2501,1890,0
654,946,1285,1515,1732,1839,2034,2649,2078,0
