B1,B2,B3,B4,B5,B6,B7,B8,B9,Flag
450,767,870,1276,2039,2187,2331,2099,1456,0
3002,3029,3065,3496,4096,4059,4332,3971,3366,1
435,756,549,1258,3571,3959,3853,1886,956,0
302,584,421,975,3132,3653,3978,1689,931,0
359,591,380,910,3879,4562,4896,1343,596,0
838,1044,1033,1832,3756,4046,4244,2797,2293,0
105,498,544,1405,3632,3783,4309,1351,864,0
178,523,333,1326,4236,4528,4880,1186,586,0
3500,3503,3742,4705,6021,5936,5995,1092,835,3
560,840,917,1719,3138,3267,3735,2127,1313,0
438,704,633,1293,3624,4067,4337,1927,1024,0
319,582,381,964,3815,4790,4913,1785,946,0
349,731,480,1138,4066,5130,5190,1422,694,0
368,774,482,1248,3098,3639,4045,1630,851,0
417,788,706,1306,2138,2395,2870,1814,1018,0
577,853,1306,1547,2184,2481,2774,2546,1497,0
574,915,763,1497,3544,3945,4269,2657,1461,0
2033,2237,2288,3078,4167,4561,4709,3785,2945,1
496,772,635,1135,3237,3877,4212,2349,1180,0
824,1197,973,1795,4255,4943,5138,3089,1519,0
749,993,1085,1511,2613,2992,3433,2875,1691,0
704,1000,1351,1503,1823,1993,2198,2692,2032,0
715,948,1340,1529,1786,1874,2111,2680,2107,0
