B1,B2,B3,B4,B5,B6,B7,B8,B9,Flag
905,1319,1750,1971,2191,2216,2472,2844,2402,0
4632,3674,3286,4129,4518,4392,4548,4515,3710,1
722,1023,1207,1639,1996,2046,2298,2109,1615,0
724,1175,1193,1896,3253,3339,3599,2605,1877,0
710,1152,1082,1923,3752,3967,4328,2429,1612,0
284,590,383,1315,4318,4629,4825,1431,697,0
0,164,383,1119,3008,3102,3379,1232,824,0
217,558,444,1464,4043,4323,4582,1156,593,0
8301,8071,8755,9890,9547,8863,8762,894,995,1
412,738,865,1629,3031,3125,3412,1841,1162,0
517,834,786,1548,3425,3749,4121,1918,1225,0
382,647,485,1055,3962,4838,5130,1757,965,0
325,632,437,1086,3948,4947,5345,1468,762,0
423,740,453,1154,3197,3745,4146,1248,688,0
289,650,427,1155,2405,2718,3109,1177,592,0
370,643,827,1330,1932,2167,2639,2035,1198,0
1157,1544,2033,2379,2727,2801,3028,3422,2852,0
1174,1634,2093,2402,2811,2976,3180,3391,2819,0
1045,1450,1788,2120,2752,2960,3171,3217,2493,0
1043,1439,1657,2181,3129,3381,3634,3248,2374,0
972,1326,1728,1929,2262,2399,2623,3051,2528,0
1036,1424,1898,2166,2368,2489,2686,3204,2701,0
1164,1543,2007,2334,2565,2663,2861,3450,2985,0
