B1,B2,B3,B4,B5,B6,B7,B8,B9,Flag
718,1109,1558,1754,1862,1862,2050,2519,2188,0
902,1201,1581,1830,1922,1931,2006,2356,1890,0
526,823,1088,1341,1479,1539,1544,1844,1444,0
790,1253,1571,1989,2413,2477,2707,2794,2329,0
683,1110,1360,1841,2349,2390,2521,2393,1859,0
414,791,818,1578,3144,3286,3357,2054,1584,0
0,203,379,1067,2559,2606,2858,1199,771,0
218,551,628,1331,2915,2982,3094,1220,668,0
7845,7632,8303,9460,9188,8596,8482,996,1093,1
410,714,825,1424,2766,2906,3162,1710,1095,0
600,938,948,1530,3664,4067,4170,1980,1282,0
317,591,401,1035,4013,4808,5108,1616,789,0
330,662,451,1070,3780,4664,4874,1249,567,0
412,694,381,1125,3312,3911,4247,955,422,0
341,732,410,1226,2756,3102,3513,1054,501,0
354,735,690,1345,2018,2245,2767,1592,918,0
1619,1981,2101,2574,3798,4183,4489,3476,2304,1
822,1175,1495,2008,2546,2760,3131,3624,2564,0
774,1107,1442,1840,2450,2664,3047,3419,2428,0
870,1258,1669,1957,2162,2292,2511,3072,2484,0
873,1225,1657,1871,2118,2250,2432,2991,2421,0
851,1230,1634,1889,2154,2274,2450,2985,2477,0
844,1248,1566,1933,2358,2409,2659,3001,2545,0
