B1,B2,B3,B4,B5,B6,B7,B8,B9,Flag
341,490,717,926,1068,1102,1245,1855,1523,0
496,601,767,1032,1308,1427,1529,1838,1224,0
400,535,595,899,1162,1222,1343,1542,1063,0
364,577,577,963,1683,1760,1958,1624,1126,0
628,919,810,1451,2932,3103,3394,2229,1386,0
421,929,557,1977,6168,6521,6633,2165,942,0
0,547,495,1648,4666,4723,5100,1503,834,0
377,794,633,2041,5203,5359,5643,1170,533,0
319,690,910,1945,3297,3445,3735,2141,1368,0
512,761,839,1654,2913,3043,3474,2169,1326,0
402,692,542,1353,3533,3863,4295,1927,1059,0
357,606,362,983,4242,5167,5513,1658,721,0
395,787,557,1293,4386,5443,5689,1446,670,0
413,756,408,1191,3637,4346,4761,1166,525,0
386,802,438,1350,3165,3619,4150,1156,518,0
413,786,800,1536,2445,2751,3395,1845,979,0
706,972,1173,1582,2554,2706,3051,2970,2020,0
6790,5966,5293,4942,5031,4818,4879,4615,3404,1
709,987,1402,1633,2048,2274,2736,3465,2463,0
764,765,1065,1238,1438,1627,1900,1535,1101,0
557,683,896,1045,1209,1327,1509,2184,1699,0
557,692,915,1096,1209,1309,1451,2229,1790,0
542,672,874,1076,1198,1265,1384,2135,1761,0
