B1,B2,B3,B4,B5,B6,B7,B8,B9,Flag
620,922,1258,1504,1681,1707,1788,2206,1878,0
632,880,943,1325,1843,1910,2152,1812,1296,0
620,848,887,1341,1889,1969,2107,1764,1194,0
409,761,552,1305,3484,3698,3909,1709,910,0
4536,4030,3969,4324,4282,4124,4165,3530,3219,1
291,617,307,1466,5437,5808,5929,1470,670,0
0,225,207,1056,3697,3832,3948,966,573,0
278,580,358,1581,4976,5239,5206,1065,476,0
4947,4813,5283,6606,7243,7023,6967,915,861,3
313,650,758,1582,2763,2818,3045,1622,978,0
266,358,238,685,1861,1950,1804,760,324,0
248,533,314,906,3968,4774,4958,1456,654,0
311,568,359,983,3805,4616,4878,1255,549,0
386,694,428,1105,2888,3395,3712,1071,525,0
263,613,380,1076,2183,2459,2804,1021,533,0
289,573,530,1099,1777,2011,2393,1493,900,0
1067,1485,1987,2329,2593,2705,2953,3601,3053,0
1092,1527,1994,2343,2610,2746,2987,3612,2952,0
820,1169,1578,1802,2123,2261,2484,3011,2452,0
294,315,367,409,514,559,594,484,300,2
816,1076,1461,1681,1914,2104,2227,2813,2384,0
890,1267,1680,1999,2321,2458,2647,3170,2625,0
568,987,893,1651,2919,3062,3298,2562,1758,0
