B1,B2,B3,B4,B5,B6,B7,B8,B9,Flag
3045,3253,3032,3418,4104,4031,4118,3889,2941,1
332,358,335,464,648,691,779,600,530,0
726,1044,1129,1604,2370,2473,2565,2319,1756,0
420,757,472,1206,4034,4281,4407,1922,928,0
6655,6205,5972,6517,6438,6226,6069,5412,4751,1
411,620,511,1595,4821,5018,5050,1612,769,0
1689,1807,1771,2925,5305,5199,5242,1077,573,1
1365,1388,1423,2488,4166,4249,4416,2879,2330,0
8292,7960,8645,9830,9541,9008,8954,1065,1205,1
379,589,711,1537,3139,3179,3348,1799,1141,0
425,669,507,1186,4036,4526,4652,1629,869,0
371,729,516,1112,3782,4461,4712,1529,744,0
318,605,391,1128,3577,4067,4278,1359,722,0
478,836,591,1372,2622,2871,3196,1422,794,0
1268,1305,1473,1841,2130,2296,2732,2138,1456,0
736,942,1339,1555,1725,1844,2167,2848,2034,0
1027,1240,1314,1800,2510,2564,2808,2820,2129,0
148,170,207,229,227,266,297,437,408,2
771,1030,1399,1567,1748,1868,2119,2913,2471,0
-999,-999,-999,-999,-999,-999,-999,-999,-999,1
793,1035,1394,1517,1647,1733,1920,2819,2418,0
829,1142,1512,1659,1799,1838,2060,2897,2541,0
712,950,1235,1438,1580,1633,1770,2625,2335,0
