B1,B2,B3,B4,B5,B6,B7,B8,B9,Flag
417,722,731,1109,1473,1469,1526,1349,1008,0
478,805,743,1271,2055,2099,2222,1539,1031,0
537,862,690,1453,2689,2797,2938,1693,964,0
438,811,606,1430,3361,3604,3770,1536,941,0
2094,1959,1707,2241,3126,3187,3216,1706,1393,1
291,537,417,1847,4824,5024,5312,1472,732,0
2005,2071,2165,2946,4089,3890,4040,551,476,1
235,430,471,1782,3990,4112,4440,1137,549,0
8690,8291,9062,9490,8949,8401,8506,906,1064,1
396,653,750,1497,2564,2626,2919,1575,1030,0
448,712,575,1337,3379,3719,3986,1575,862,0
327,604,364,1109,4048,4807,5053,1419,692,0
387,883,582,1302,3989,4710,5153,1213,625,0
1570,1721,1391,1980,3707,4314,4585,1886,995,1
377,871,601,1470,2520,2820,3211,1191,618,0
449,685,1029,1311,1651,1893,2154,2094,1379,0
739,1068,1150,1644,2384,2541,2798,2867,1995,0
694,953,1203,1440,1824,1956,2040,2369,1787,0
786,1104,1428,1565,1843,1988,2100,2508,2014,0
767,1046,1371,1498,1884,2073,2128,2549,1944,0
728,1007,1255,1424,1847,2009,2055,2344,1874,0
718,1021,1217,1473,2038,2227,2351,2316,1808,0
621,898,954,1373,2297,2413,2662,2104,1555,0
