B1,B2,B3,B4,B5,B6,B7,B8,B9,Flag
586,891,1171,1463,1975,2042,2205,2288,1841,0
6172,5855,5550,6226,6573,6279,6543,4847,4377,1
674,976,1002,1571,2927,3106,3392,2306,1562,0
417,715,483,1175,3858,4355,4870,1895,1049,0
8628,8023,7683,8182,7809,7432,7364,5863,4938,1
241,476,309,1173,4186,4652,5274,1788,1050,0
2079,2072,1941,2761,4795,4840,5221,1020,746,1
1002,934,899,1713,3342,3552,3898,2176,1647,0
8100,7903,8634,9573,9178,8582,8796,983,1082,1
1167,1454,1265,2450,4314,4519,4551,1160,750,1
3039,3078,3196,3699,4269,4297,4451,4025,3514,1
347,735,526,1146,3784,4747,5242,1473,825,0
303,609,325,1056,3870,4719,5230,1152,592,0
526,857,606,1343,2733,3107,3583,1347,766,0
475,678,932,1201,1564,1757,2172,2070,1404,0
801,1046,1457,1615,1891,2040,2428,2758,1955,0
734,991,1391,1571,1813,1893,2181,2808,2331,0
867,1087,1470,1614,1829,1968,2217,2811,2240,0
935,1210,1589,1740,2184,2371,2709,2981,2266,0
-999,-999,-999,-999,-999,-999,-999,-999,-999,1
867,1120,1426,1623,2027,2202,2546,2803,2187,0
696,993,1143,1494,2166,2332,2759,2568,1924,0
702,965,1317,1478,1685,1735,1983,2581,2184,0
