B1,B2,B3,B4,B5,B6,B7,B8,B9,Flag
405,670,985,1067,1434,1479,1511,1472,1131,0
160,248,244,306,496,535,504,255,158,2
514,774,814,1175,1913,2156,2187,1544,941,0
319,566,411,912,2477,2645,2994,1326,735,0
3448,3222,3016,3636,3990,3983,3892,3068,2588,1
194,439,201,839,2906,2880,3826,1007,510,0
2317,2116,2207,2422,3126,2920,3070,443,400,3
199,326,226,722,1945,1978,2284,611,329,0
5303,5235,5664,5468,5656,4900,5934,677,666,3
352,691,866,1477,2282,2352,2692,1527,986,0
458,767,728,1237,2400,2427,2922,1799,1142,0
315,558,377,885,3349,3980,4411,1511,760,0
416,868,687,1172,3396,4086,4385,1504,750,0
408,690,416,1042,3095,3714,3987,1334,649,0
344,686,408,1058,2631,3020,3375,1314,626,0
361,710,695,1189,2246,2561,2959,1781,957,0
744,1022,1360,1590,2462,2751,3003,2974,2106,0
617,978,1073,1378,2562,2997,3185,2549,1701,0
547,803,905,1219,2494,2851,3266,2389,1507,0
4069,3835,3805,4165,4793,4984,5397,4670,3694,1
790,1124,1457,1445,1936,2246,2353,2373,1778,0
833,1244,1668,1582,2064,2208,2451,2545,1989,0
807,1158,1595,1657,2006,2161,2371,2496,2045,0
