B1,B2,B3,B4,B5,B6,B7,B8,B9,Flag
455,826,1166,1384,1474,1493,1551,1789,1513,0
337,520,714,840,950,967,1036,829,753,0
365,533,629,900,1064,1100,1041,1092,787,0
561,968,1072,1541,2584,2716,2658,1956,1369,0
7243,6916,6840,7485,7354,7053,7047,6317,5686,1
313,561,435,1346,4019,4068,4100,1347,633,0
468,745,780,1587,3318,3300,3377,773,527,0
272,485,455,1533,3711,3672,3555,940,445,0
4097,4178,4701,6421,6572,6182,5548,1018,1053,1
269,608,912,1364,1973,2009,2173,1643,1203,0
692,1156,1432,1874,2890,3049,3013,2336,1761,0
438,786,743,1324,3334,3681,3755,1776,1073,0
459,897,793,1331,3485,4007,3930,1430,766,0
421,745,489,1153,3154,3671,3986,1052,525,0
359,748,419,1209,2764,3135,3526,995,480,0
427,898,725,1548,2466,2691,3211,1472,847,0
636,859,973,1337,1917,2016,2165,2280,1527,0
530,819,887,1516,2422,2671,2903,2814,1931,0
725,1056,1204,1724,2564,2852,3230,3113,2068,0
751,1102,1581,1820,1993,2113,2279,2868,2211,0
794,1156,1548,1769,2023,2181,2317,2906,2334,0
683,741,590,707,959,949,769,775,454,0
850,1270,1707,2024,2277,2369,2453,3172,2691,0
