B1,B2,B3,B4,B5,B6,B7,B8,B9,Flag
305,671,503,1234,2619,2880,3392,1993,1145,0
593,915,808,1438,2802,3023,3135,2041,1168,0
552,792,672,1272,2592,2869,2935,1697,1098,0
354,675,399,1159,3753,4210,4650,1917,892,0
2160,2143,2105,2588,3177,3243,3242,2465,2184,1
1107,1217,1273,1753,2433,2508,2644,2244,1983,0
5076,4913,5217,6153,6630,6108,6077,338,360,3
165,305,281,902,2014,2047,2167,623,344,0
1590,1918,2199,3110,3797,3858,4317,2066,1543,0
487,760,1088,1700,2302,2348,2641,2130,1421,0
489,741,718,1412,2685,2868,3042,2075,1281,0
280,545,349,976,3597,4309,4440,1880,934,0
337,849,624,1250,4015,4918,5267,1609,788,0
2437,3096,3520,4219,5224,5645,5926,4578,3692,1
367,700,395,1141,2904,3367,3723,1307,602,0
434,814,663,1477,2491,2796,3345,2099,1143,0
757,1074,1259,1719,2941,3363,3696,3207,2081,0
1804,1981,1936,2351,3643,4125,4446,2929,1740,1
730,997,1211,1431,2437,2850,2887,2475,1706,0
990,1261,1555,1721,2479,2724,2819,2805,2026,0
802,1051,1279,1485,2315,2614,2826,2680,1861,0
806,1138,1294,1613,2475,2765,2983,2740,1911,0
602,926,1007,1475,2524,2780,3057,2620,1742,0
