B1,B2,B3,B4,B5,B6,B7,B8,B9,Flag
1208,1790,2276,2603,3153,3162,3291,3598,2865,0
1403,1938,2314,2810,3699,3723,3715,3571,2555,0
1122,1616,1810,2471,2911,3052,3385,3367,2676,0
880,1299,1213,2121,3541,3741,4371,3078,2381,0
757,1181,1171,2160,4013,4346,4896,3095,2208,0
270,625,420,1378,4001,4353,4702,1980,1128,0
5964,5846,6039,7313,7773,7067,6873,579,561,3
794,1111,1124,2040,3780,3980,4490,2287,1549,0
8461,8225,8828,9887,9681,9131,8985,1384,1504,1
527,878,942,1867,3460,3637,4188,1890,1099,0
780,1083,1084,1893,3868,4174,4538,2633,1681,0
390,725,590,1249,3683,4409,4836,2044,1162,0
315,658,426,1111,3749,4597,5108,1602,819,0
427,789,401,1111,2960,3458,4246,1237,636,0
362,756,462,1192,2402,2651,3378,1337,699,0
468,807,957,1526,2115,2303,2822,2091,1304,0
2216,2852,3244,3581,4280,4390,4518,4140,3288,1
748,1087,1157,1814,2941,3193,3628,3198,2059,0
1087,1457,1882,2074,2480,2608,2923,3566,2651,0
1206,1643,2209,2400,2739,2915,3317,3914,3005,0
1140,1544,1973,2154,2526,2647,2945,3687,2875,0
1061,1520,1869,2197,2807,2971,3345,3736,2879,0
869,1206,1402,2020,3128,3241,3648,3311,2448,0
