B1,B2,B3,B4,B5,B6,B7,B8,B9,Flag
524,793,961,1285,1667,1729,1846,1942,1441,0
534,794,996,1390,2151,2207,2041,2039,1405,0
867,1190,1232,1816,3072,3150,3053,2382,1522,0
4134,3873,3593,4322,4881,4691,4776,2728,2530,1
510,866,785,1435,3402,3566,3371,1989,1150,0
337,583,563,1580,3339,3483,3367,1600,859,0
4873,4772,5073,5849,6491,6007,6243,1008,879,3
291,500,610,1545,2843,2915,3061,1101,604,0
9037,8740,9355,10501,10094,9279,9076,923,1080,1
335,541,738,1325,2062,2109,2155,1961,1338,0
366,639,607,1257,2752,2996,2916,1877,1103,0
335,713,413,1209,3566,3938,4154,1683,838,0
425,871,570,1292,3563,4016,4532,1529,844,0
554,927,693,1566,3119,3512,3958,1929,1193,0
545,984,718,1442,3126,3557,4017,1946,1003,0
387,691,665,1203,2570,2955,3198,2175,1191,0
556,844,932,1329,2810,3275,3237,2526,1434,0
567,824,657,1345,3175,3869,3923,2432,1321,0
405,667,541,1065,2975,3647,3597,2241,1065,0
353,649,459,1048,3103,3700,3530,2029,963,0
391,623,441,1002,3042,3644,3708,1989,880,0
326,557,448,1094,2861,3330,3389,2009,988,0
357,574,513,1204,2825,3193,3389,1865,907,0
