B1,B2,B3,B4,B5,B6,B7,B8,B9,Flag
512,874,894,1424,2510,2655,2786,2165,1439,0
522,1002,555,1648,4851,5209,5529,2465,1191,0
424,814,441,1334,4258,4788,5122,1980,920,0
406,651,413,1134,4424,5106,5606,1918,917,0
885,1216,1046,2008,5052,5811,6252,2661,1805,1
334,698,427,1610,4990,5422,6218,2115,1124,0
111,539,634,1519,3843,3883,4339,1251,825,0
256,654,430,1557,4544,4817,5198,1287,651,0
3999,3965,4298,5191,6115,5916,6316,1181,953,1
437,739,746,1623,3163,3282,3854,1908,1171,0
343,626,547,1246,3789,4351,4735,1732,912,0
360,710,487,1162,3596,4371,4826,1792,1052,0
335,726,442,1238,3996,4851,5377,1447,763,0
452,818,447,1231,3229,3751,4154,1242,632,0
438,795,717,1382,2207,2425,2793,1599,915,0
718,1037,1436,1675,2203,2393,2920,2638,1648,0
334,472,427,790,1587,1752,1944,1097,707,0
389,851,441,1478,3926,4322,4867,2392,1221,0
428,793,512,1260,3661,4192,4671,2293,1156,0
547,884,573,1475,4010,4686,5080,2560,1228,0
642,987,831,1489,2979,3356,3754,2535,1418,0
753,1077,1515,1673,2040,2180,2400,2880,2239,0
751,1077,1482,1622,2018,2125,2335,2717,2134,0
