B1,B2,B3,B4,B5,B6,B7,B8,B9,Flag
717,1066,1493,1771,1911,1967,2136,2754,2354,0
7319,6578,6198,6932,6734,6323,6346,3429,2438,1
658,1011,1141,1664,2214,2319,2443,2509,1836,0
543,820,792,1325,3151,3421,3589,1903,1127,0
574,869,647,1349,4513,5072,5129,1902,909,0
737,998,909,1914,5107,5510,5558,2713,2099,0
0,349,270,1307,5005,5286,5425,1442,748,0
313,648,407,1585,5374,5776,5870,1058,446,0
965,1277,1301,2645,4971,5132,5341,1473,810,0
467,833,800,1903,4234,4494,4784,1956,1026,0
370,625,436,1223,4336,4970,5216,1510,680,0
279,548,304,915,4490,5714,6001,1595,647,0
350,737,502,1182,3989,4938,5178,1343,631,0
335,651,350,1004,2642,3065,3333,956,466,0
455,822,746,1431,2090,2334,2816,1626,943,0
740,1104,1684,2020,2257,2483,2989,3124,1929,0
631,935,918,1573,2735,2963,3232,3003,2007,0
7083,6708,6699,7025,6999,6870,7067,5395,4170,1
510,712,836,1288,2024,2303,2689,2350,1557,0
9121,8257,7836,8294,7977,7691,7778,6176,5163,1
870,1082,1481,1671,1845,1971,2190,2972,2400,0
990,1298,1781,2021,2123,2241,2468,3331,2787,0
890,1194,1624,1891,2045,2101,2298,3226,2777,0
