B1,B2,B3,B4,B5,B6,B7,B8,B9,Flag
520,871,951,1498,2377,2533,2663,2206,1576,0
736,1168,1189,1817,2622,2667,3001,2177,1503,0
620,1064,1003,1669,2657,2757,3038,2244,1560,0
392,800,597,1443,3583,3894,4436,2217,1375,0
5482,5181,5130,5374,5601,5458,5539,4605,4154,1
411,776,744,1744,3593,3690,3722,2181,1354,0
1658,1855,1915,3169,4590,4447,4603,1096,764,1
1169,1038,1246,1602,1761,1721,1855,2012,1822,0
5983,5641,5976,6754,6523,6055,5927,616,723,3
5088,4894,5006,5411,6292,6041,6331,733,503,3
534,829,711,1514,3653,3951,4264,2034,1181,0
284,629,388,985,3601,4513,4659,1349,631,0
311,644,375,1046,3748,4599,5039,1126,502,0
424,880,468,1378,3285,3764,4243,1193,596,0
297,635,439,1010,1747,1953,2358,846,470,0
500,795,1124,1542,1846,2065,2485,2566,1640,0
878,1225,1645,1928,2133,2208,2399,3030,2649,0
3210,3249,3338,3555,4391,4612,4788,3998,3154,1
1026,1500,1965,2179,2481,2628,2776,3454,2933,0
1159,1623,2085,2317,2591,2683,2890,3439,2891,0
981,1444,1814,2094,2511,2661,2878,3316,2722,0
668,1210,1069,1844,3135,3334,3675,2690,1830,0
521,944,795,1564,3026,3260,3599,2312,1604,0
