B1,B2,B3,B4,B5,B6,B7,B8,B9,Flag
410,754,971,1284,1786,1883,1889,1802,1240,0
4047,3566,3190,3642,4321,4276,4191,3538,2720,1
728,1139,1211,1774,2764,2915,2975,2529,1675,0
513,888,693,1349,3932,4344,4525,1935,1070,0
1394,1578,1516,1977,3603,3846,3907,2341,1740,1
333,616,327,1329,4909,5379,5767,1728,856,0
5766,5676,5965,6762,7437,6916,6789,431,483,3
432,718,418,1590,4967,5394,5636,1225,602,0
5418,5335,5810,7324,8022,7656,7641,977,999,1
344,700,852,1835,3111,3203,3554,1750,1020,0
435,732,675,1408,3520,3844,4114,1805,975,0
265,487,309,874,3683,4522,4958,1441,687,0
258,514,309,889,3597,4527,4816,1180,502,0
422,642,454,1082,3152,3824,4220,1155,550,0
357,649,396,1133,2830,3330,3770,1031,486,0
3941,3573,3571,4312,4966,5156,5467,4440,3652,1
1926,1914,1870,2407,3292,3633,3959,3055,2301,1
927,1252,1679,2110,2455,2676,3098,3752,2663,0
696,1015,1341,1748,2278,2520,2922,3171,2250,0
239,305,267,426,719,778,800,519,302,2
732,1095,1518,1721,2002,2144,2245,3014,2471,0
760,1199,1634,1871,2096,2202,2320,3140,2658,0
748,1235,1579,1936,2296,2402,2586,3249,2707,0
