B1,B2,B3,B4,B5,B6,B7,B8,B9,Flag
504,923,1180,1503,2117,2214,2262,2612,1845,0
737,1120,1466,1792,2420,2548,2449,2947,2028,0
776,1198,1457,1896,2521,2626,2553,3091,2167,0
616,1110,1177,1721,2841,3035,3263,2941,2095,0
637,1070,1073,1756,3206,3432,3495,2610,1739,0
212,496,310,1101,3450,3716,3861,1566,830,0
7094,6810,6999,7844,7685,6933,6726,457,560,3
1058,1231,941,1988,3841,4019,4170,1079,621,1
7276,7072,7675,8662,8521,7974,7991,1036,1200,1
2652,2811,2965,3695,4470,4255,4381,1047,684,3
439,763,809,1499,2917,3095,3243,2315,1484,0
320,619,374,1083,3887,4488,4863,1886,954,0
243,576,329,1030,3999,4830,5124,1366,611,0
398,712,413,1147,3368,3982,4371,1228,598,0
367,736,388,1224,3298,3889,4238,1218,562,0
159,359,183,539,1112,1221,1406,353,181,2
1066,1516,1880,2320,3150,3477,4165,3711,2292,0
947,1332,1737,2047,2480,2703,3042,3351,2297,0
684,1016,1261,1559,2336,2604,2904,2775,1765,0
715,1082,1138,1697,2746,3013,3306,2995,1836,0
529,852,724,1379,2725,3037,3384,2581,1458,0
881,1025,706,1465,2987,3274,3771,2404,1288,0
506,774,724,1297,2569,2888,3118,2342,1420,0
